City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Faya,SA,clear sky,18.3851,42.4509,86.52,8,1,3.11
271,San Carlos De Bariloche,AR,heavy intensity rain,-41.1456,-71.3082,40.75,87,100,19.57
272,Acari,PE,overcast clouds,-15.4311,-74.6158,64.29,82,96,4.05
273,Gualaquiza,EC,broken clouds,-3.4,-78.55,61.14,98,75,1.34
274,Nemesnadudvar,HU,few clouds,46.3405,19.0511,71.11,41,17,15.26
275,Praia,CV,few clouds,14.9215,-23.5087,75.74,60,20,16.11
276,Thinadhoo,MV,overcast clouds,0.5333,72.9333,83.97,72,100,14.72
277,Basoko,CD,overcast clouds,1.2391,23.616,87.96,53,100,0.67
278,Vila Velha,BR,clear sky,-20.3297,-40.2925,62.55,88,0,5.75
279,Batavia,US,clear sky,41.85,-88.3126,51.98,79,0,10.36
280,Mahajanga,MG,few clouds,-15.7167,46.3167,95.02,38,20,9.22
281,Grindavik,IS,few clouds,63.8424,-22.4338,49.95,71,20,23.02
282,Sistranda,NO,overcast clouds,63.7256,8.834,53.56,77,95,6.96
283,Arlit,NE,overcast clouds,18.7369,7.3853,101.84,10,91,12.75
284,Tanout,NE,overcast clouds,14.9709,8.8879,100.76,10,86,9.84
285,Vrede,ZA,scattered clouds,-27.4257,29.1659,57.15,50,33,7.49
286,Tucuma,BR,few clouds,-0.1833,-50.05,72.09,95,15,4.03
287,Moose Factory,CA,overcast clouds,51.2585,-80.6094,37.4,81,100,4.61
288,Macapa,BR,fog,0.0389,-51.0664,75.18,100,100,2.3
289,Fontem,CM,light rain,5.4685,9.8818,77.36,72,81,2.28
290,Ati,TD,overcast clouds,13.2154,18.3353,102.04,10,99,13.49
291,Shu,KZ,overcast clouds,43.5983,73.7614,65.34,41,100,12.15
292,Santa Maria,BR,clear sky,-29.6842,-53.8069,47.5,100,0,2.3
293,Bat Khela,PK,clear sky,34.6167,71.9714,96.73,10,1,11.1
294,Doka,SD,broken clouds,13.5167,35.7667,94.95,29,65,12.86
295,Desbiens,CA,overcast clouds,48.4178,-71.9495,50.65,89,96,7.09
296,Slavonice,CZ,scattered clouds,48.9975,15.3515,65.88,56,34,9.46
297,Pimentel,PE,few clouds,-6.8367,-79.9342,62.92,91,13,12.1
298,Rudbar,AF,clear sky,30.15,62.6,92.34,14,0,24.23
299,Tokonou,GN,overcast clouds,9.65,-9.7833,80.06,67,89,4.52
300,Brae,GB,overcast clouds,60.3964,-1.353,51.93,91,100,16.75
301,Puerto Montt,CL,broken clouds,-41.4698,-72.9447,45.43,100,75,8.05
302,Zhezkazgan,KZ,scattered clouds,47.8043,67.7144,60.78,29,40,26.84
303,Stilfontein,ZA,few clouds,-26.8449,26.7683,59.25,51,19,8.12
304,Shiringushi,RU,overcast clouds,53.8485,42.7676,51.58,62,97,11.83
305,Severodvinsk,RU,scattered clouds,64.5635,39.8302,35.71,48,43,13.65
306,Edwardsville,US,clear sky,38.8114,-89.9532,55.85,87,0,6.91
307,Lampa,CL,broken clouds,-33.2833,-70.9,55.08,63,75,3.44
308,Detchino,RU,broken clouds,54.8092,36.3075,57.65,53,51,12.21
309,Pastavy,BY,broken clouds,55.1168,26.8326,58.26,57,78,12.88
310,Huambo,AO,clear sky,-12.7761,15.7392,71.4,43,0,0.0
311,Caravelas,BR,clear sky,-17.7125,-39.2481,69.42,81,2,3.74
312,Ust-Tsilma,RU,overcast clouds,65.441,52.1498,41.68,49,99,15.28
313,Srivardhan,IN,scattered clouds,18.0333,73.0167,89.13,62,42,13.2
314,Le Moule,GP,scattered clouds,16.3332,-61.3473,76.17,100,35,11.39
315,Port Blair,IN,mist,11.6667,92.75,86.04,79,75,16.11
316,Penzance,GB,few clouds,50.1186,-5.5371,61.48,79,21,8.93
317,Coihaique,CL,clear sky,-45.5752,-72.0662,34.41,93,0,6.91
318,Kalabo,ZM,broken clouds,-14.97,22.6814,73.9,18,76,5.77
319,Mount Pleasant,US,clear sky,32.7941,-79.8626,75.99,83,0,6.91
320,Najran,SA,few clouds,17.4924,44.1277,99.25,6,12,13.91
