City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Namibe,AO,2022-05-19 03:15:49,-15.1961,12.1522,68.86,74,0,8.41
259,Mollendo,PE,2022-05-19 03:15:50,-17.0231,-72.0147,62.35,85,91,2.91
260,Sembe,CG,2022-05-19 03:15:50,1.6481,14.5806,70.25,98,99,0.31
261,Devaprayag,IN,2022-05-19 03:15:50,30.15,78.6167,89.04,26,1,2.95
262,Mahebourg,MU,2022-05-19 03:15:51,-20.4081,57.7,73.69,83,75,14.97
263,Ardakan,IR,2022-05-19 03:15:51,32.31,54.0175,77.88,15,0,9.55
264,Hilton Head Island,US,2022-05-19 03:15:06,32.2163,-80.7526,78.85,83,0,8.05
265,Qusar,AZ,2022-05-19 03:15:52,41.4273,48.4289,58.78,48,0,5.53
266,Trairi,BR,2022-05-19 03:14:38,-3.2778,-39.2689,76.39,92,100,5.7
267,Morrope,PE,2022-05-19 03:15:52,-6.5417,-80.0111,67.19,79,96,13.69
268,Maridi,SS,2022-05-19 03:15:53,4.9158,29.4742,67.39,93,100,3.67
269,Thompson,CA,2022-05-19 03:15:53,55.7435,-97.8558,37.56,60,20,4.61
270,Niono,ML,2022-05-19 03:15:53,14.2526,-5.993,86.94,10,9,8.12
271,Arlit,NE,2022-05-19 03:15:54,18.7369,7.3853,83.44,16,0,7.61
272,Tibu,CO,2022-05-19 03:15:54,8.639,-72.7358,74.14,98,100,2.55
273,Polyarnyy,RU,2022-05-19 03:15:54,69.1989,33.4478,34.75,75,100,19.71
274,Paldiski,EE,2022-05-19 03:15:54,59.3567,24.0531,50.92,76,100,5.75
275,Dourbali,TD,2022-05-19 03:15:55,11.8091,15.8632,83.53,44,99,6.62
276,Antofagasta,CL,2022-05-19 03:15:55,-23.65,-70.4,60.08,86,40,2.26
277,Karachi,PK,2022-05-19 03:15:55,24.9056,67.0822,84.02,74,40,11.5
278,Gafanha Da Encarnacao,PT,2022-05-19 03:15:56,40.6181,-8.733,57.02,83,18,7.65
279,Porto Novo,BJ,2022-05-19 03:15:56,6.4965,2.6036,79.57,87,86,7.87
280,Chepareria,KE,2022-05-19 03:15:56,1.3077,35.2039,62.02,84,100,4.03
281,Kassala,SD,2022-05-19 03:11:36,15.451,36.4,83.7,27,40,5.86
282,Laguna,US,2022-05-19 03:15:57,38.421,-121.4238,91.69,21,0,12.66
283,Asyut,EG,2022-05-19 03:15:02,27.181,31.1837,74.28,29,70,7.45
284,Kharp,RU,2022-05-19 03:15:57,66.8014,65.8081,35.89,72,100,9.78
285,Sahbuz,AZ,2022-05-19 03:11:09,39.4072,45.5739,53.2,68,1,2.44
286,Kurikka,FI,2022-05-19 03:15:58,62.6167,22.4167,43.86,79,100,7.18
287,Suez,EG,2022-05-19 03:15:58,29.9737,32.5263,66.16,62,0,9.57
288,Clyde River,CA,2022-05-19 03:15:58,70.4692,-68.5914,23.23,100,100,3.44
289,Port Shepstone,ZA,2022-05-19 03:15:59,-30.7414,30.455,66.38,55,4,6.96
290,New Richmond,US,2022-05-19 03:15:59,45.123,-92.5366,61.72,82,0,3.44
291,Bull Savanna,JM,2022-05-19 03:15:59,17.8868,-77.5902,75.96,89,76,7.9
292,Sao Filipe,CV,2022-05-19 03:16:00,14.8961,-24.4956,76.35,66,80,5.57
293,Iquitos,PE,2022-05-19 03:16:00,-3.7481,-73.2472,69.84,100,100,0.0
